,9.0,10.5,12.0,13.5,15.0
20220121,"(17.43,135.78)","(27.21,156.11)","(30.83,180.0)","(27.21,203.89)","(17.43,224.22)"
20220221,"(24.83,130.02)","(35.77,152.38)","(39.97,180.0)","(35.77,207.62)","(24.83,229.98)"
20220321,"(33.12,122.4)","(45.55,146.87)","(50.6,180.0)","(45.55,213.13)","(33.12,237.6)"
20220421,"(41.57,112.24)","(55.85,138.11)","(62.28,180.0)","(55.85,221.89)","(41.57,247.76)"
20220521,"(47.05,103.1)","(62.77,128.3)","(70.79,180.0)","(62.77,231.7)","(47.05,256.9)"
20220621,"(48.93,99.13)","(65.17,123.29)","(74.05,180.0)","(65.17,236.71)","(48.93,260.87)"
20220721,"(46.99,103.23)","(62.69,128.44)","(70.69,180.0)","(62.69,231.56)","(46.99,256.77)"
20220821,"(41.22,112.74)","(55.41,138.6)","(61.76,180.0)","(55.41,221.4)","(41.22,247.26)"
20220921,"(32.67,122.86)","(45.02,147.22)","(50.01,180.0)","(45.02,212.78)","(32.67,237.14)"
20221021,"(23.85,130.83)","(34.63,152.92)","(38.75,180.0)","(34.63,207.08)","(23.85,229.17)"
20221121,"(16.83,136.21)","(26.51,156.39)","(30.1,180.0)","(26.51,203.61)","(16.83,223.79)"
20221221,"(14.4,137.95)","(23.73,157.45)","(27.16,180.0)","(23.73,202.55)","(14.4,222.05)"
